"province_name","age_group","male2011","female2011","male2016","female2016","rate_male","rate_female"
"خراسان شمالی","70-74",5972,5999,6330,6491,1.19892833221701,1.64027337889648
"خراسان شمالی","75-79",5459,4578,4430,4278,-3.76992123099469,-1.31061598951507
"خراسان شمالی","80-84",2960,2700,3409,2768,3.03378378378378,0.503703703703704
"خراسان شمالی","85-89",1056,1198,1398,1121,6.47727272727273,-1.28547579298831
"خراسان شمالی","90-94",144,206,367,316,30.9722222222222,10.6796116504854
"خراسان شمالی","95-99",70,82,34,46,-10.2857142857143,-8.78048780487805
"خراسان شمالی",">100",16,40,9,16,-8.75,-12
"خراسان شمالی","unknown",274,28,NA,NA,NA,NA
"خوزستان","0-4",225708,214982,249791,234370,2.13399613660127,1.80368588998149
"خوزستان","5-9",195931,186753,222640,211585,2.72636795606617,2.65934148313548
"خوزستان","10-14",190616,183602,189516,180020,-0.115415285180677,-0.39019182797573
"خوزستان","15-19",234101,227133,175700,169341,-4.98938492360135,-5.08882460936984
"خوزستان","20-24",271380,276732,211447,209752,-4.41690618321173,-4.84078458580865
"خوزستان","25-29",263271,263629,255302,254806,-0.605383806040164,-0.669349730113151
"خوزستان","30-34",204008,202673,253679,250209,4.86951492098349,4.69090604076517
"خوزستان","35-39",161226,155075,199340,193900,4.72802153498815,5.00725455424794
"خوزستان","40-44",136581,131807,152464,147704,2.3257993425147,2.41216323867473
"خوزستان","45-49",106204,102811,130121,124630,4.50397348499115,4.24448745756777
"خوزستان","50-54",93174,89558,99641,96096,1.38815549402194,1.46005940284508
"خوزستان","55-59",69032,68783,84921,81335,4.60337234905551,3.64973903435442
"خوزستان","60-64",41751,48408,61712,62171,9.56192666043927,5.68625020657743
"خوزستان","65-69",26780,30546,36502,41974,7.26064227035101,7.48248543180776
"خوزستان","70-74",25042,24594,22077,24621,-2.36802172350451,0.0219565747743352
"خوزستان","75-79",20862,18072,19527,17707,-1.27983894161634,-0.403939796370075
"خوزستان","80-84",13519,12001,14520,12023,1.48087876322213,0.0366636113657195
"خوزستان","85-89",5032,5473,7352,6431,9.22098569157393,3.50082221816189
"خوزستان","90-94",988,1497,2046,2318,21.417004048583,10.9686038744155
"خوزستان","95-99",378,487,282,521,-5.07936507936508,1.39630390143737
"خوزستان",">100",207,495,94,321,-10.9178743961353,-7.03030303030303
"خوزستان","unknown",418,400,NA,NA,NA,NA
"زنجان","0-4",43151,41227,49799,46856,3.08127273991333,2.73073471268829
"زنجان","5-9",37517,35338,42901,40955,2.87016552496202,3.17901409247835
"زنجان","10-14",37971,36539,37113,35300,-0.451923836612151,-0.678179479460303
"زنجان","15-19",48538,47631,34942,34066,-5.60220857884544,-5.69587033654553
"زنجان","20-24",59639,61601,44509,43324,-5.07386106406881,-5.9339945780101
"زنجان","25-29",56665,56319,57150,55080,0.171181505338392,-0.439993607841048
"زنجان","30-34",47440,46812,55468,53412,3.38448566610455,2.81978979748782
"زنجان","35-39",39671,38655,47947,45789,4.17231730987371,3.69111369809856
"زنجان","40-44",31509,31580,39225,37812,4.89764829096449,3.94680177327422
"زنجان","45-49",25014,24127,31077,30756,4.84768529623411,5.49508849007336
"زنجان","50-54",22210,22212,24285,23644,1.86852769022963,1.28939312083558
"زنجان","55-59",16471,17979,21142,21458,5.67178677675915,3.87007063796652
"زنجان","60-64",10399,13918,15565,17272,9.93557072795461,4.81965799683863
"زنجان","65-69",9139,10495,9598,12787,1.00448626764416,4.36779418770843
"زنجان","70-74",8488,8432,8253,9311,-0.553722902921772,2.08491461100569
"زنجان","75-79",7758,6770,7009,6855,-1.93091002835782,0.251107828655835
"زنجان","80-84",4194,4106,5434,4632,5.91320934668574,2.56210423770093
"زنجان","85-89",2392,2175,2391,2244,-0.00836120401337793,0.63448275862069
"زنجان","90-94",365,374,940,908,31.5068493150685,28.5561497326203
"زنجان","95-99",76,76,90,104,3.68421052631579,7.36842105263158
"زنجان",">100",42,89,11,47,-14.7619047619048,-9.43820224719101
"زنجان","unknown",543,87,NA,NA,NA,NA
"سمنان","0-4",23668,23199,27643,26601,3.35896569207369,2.9328850381482
"سمنان","5-9",22839,21624,25248,24726,2.10954945487981,2.86903440621532
"سمنان","10-14",22587,21746,23481,22710,0.791605790941692,0.886599834452313
"سمنان","15-19",27897,26187,25898,23506,-1.43312901028784,-2.04758086073242
"سمنان","20-24",38291,37351,34503,33265,-1.97853281449949,-2.18789322909695
"سمنان","25-29",36739,35861,38604,37621,1.01526987669779,0.981567719807033
"سمنان","30-34",28069,27640,38307,37085,7.29488047311981,6.8342981186686
"سمنان","35-39",23148,21927,30032,28916,5.94781406601002,6.37478907283258
"سمنان","40-44",21011,20586,23675,22203,2.53581457331874,1.57097056251822
"سمنان","45-49",17700,17574,21266,21013,4.02937853107345,3.91373620120633
"سمنان","50-54",16062,15496,17806,17438,2.17158510770763,2.50645327826536
"سمنان","55-59",11756,11709,15618,15117,6.57026199387547,5.82116320778888
"سمنان","60-64",7960,8629,11472,11445,8.82412060301508,6.52682813767528
"سمنان","65-69",6272,6551,7575,8367,4.15497448979592,5.54419172645398
"سمنان","70-74",4919,5456,5859,6085,3.82191502337874,2.30571847507331
"سمنان","75-79",4315,4697,4268,4376,-0.21784472769409,-1.36682989142006
"سمنان","80-84",2610,2606,3250,3123,4.90421455938697,3.96776669224866
"سمنان","85-89",1542,1458,1468,1475,-0.959792477302205,0.233196159122085
"سمنان","90-94",395,359,554,530,8.05063291139241,9.52646239554318
"سمنان","95-99",80,75,118,93,9.5,4.8
"سمنان",">100",30,24,11,9,-12.6666666666667,-12.5
"سمنان","unknown",1410,1163,NA,NA,NA,NA
"سیستان و بلوچستان","0-4",185418,176683,215188,203521,3.21112297619433,3.03798328079102
"سیستان و بلوچستان","5-9",160525,153557,181631,172694,2.62962155427503,2.4924946436828
"سیستان و بلوچستان","10-14",141192,135658,148271,142484,1.00274803104992,1.00635421427413
"سیستان و بلوچستان","15-19",140556,136818,134731,129884,-0.82885113406756,-1.01360932041106
"سیستان و بلوچستان","20-24",140721,144761,132510,128639,-1.16699000149231,-2.22739550016924
"سیستان و بلوچستان","25-29",122061,132403,131005,131301,1.46549675981681,-0.166461485011669
"سیستان و بلوچستان","30-34",96474,102443,117172,121725,4.2908970292514,3.76443485645676
"سیستان و بلوچستان","35-39",70652,69300,92328,94889,6.13599048859197,7.38499278499279
"سیستان و بلوچستان","40-44",53391,54530,64658,63750,4.22056151785882,3.38162479369155
